aircraft_type,rows,model_name,manufacturer,entry_year,source,has_model_name,has_entry_year,share_rows,guess_category,suggested_action
E110,48,Embraer EMB 110 Bandeirante,,1968.0,wikidata:P606,True,True,0.0008643353621205028,airliner,OK
E50P,48,Embraer Phenom 100,,2007.0,wikidata:P606,True,True,0.0008643353621205028,unknown,OK
P28R,48,Piper PA-28R Arrow,,,,True,False,0.0008643353621205028,general_aviation,MED: improve scraping (try other queries / props / sources)
A19N,47,Airbus A319neo,,2017.0,wikidata:P606,True,True,0.0008463283754096589,airliner,OK
AT72,47,Aerospatiale/Alenia ATR 72,,,,True,False,0.0008463283754096589,airliner,MED: improve scraping (try other queries / props / sources)
AT8T,47,ATR 42-600,,,,True,False,0.0008463283754096589,airliner,MED: improve scraping (try other queries / props / sources)
B505,47,Bell 505 Jet Ranger X,,2014.0,wikidata:P606,True,True,0.0008463283754096589,helicopter,OK
SIRA,47,Unknown / SIRA,,,,True,False,0.0008463283754096589,unknown,MED: improve scraping (try other queries / props / sources)
T206,47,Cessna T206 Stationair,,,,True,False,0.0008463283754096589,general_aviation,MED: improve scraping (try other queries / props / sources)
TUCA,47,Emb-312 Tucano,,1980.0,wikidata:P606,True,True,0.0008463283754096589,unknown,OK
E3TF,46,Boeing E-3 Sentry,,1972.0,wikidata:P606,True,True,0.0008283213886988151,military_or_special,OK
EC75,46,Eurocopter EC175,,2009.0,wikidata:P606,True,True,0.0008283213886988151,helicopter,OK
D328,45,Fairchild Dornier Do.328,,,,True,False,0.0008103144019879714,unknown,MED: improve scraping (try other queries / props / sources)
F900,45,Dassault Falcon 900,,1984.0,wikidata:P606,True,True,0.0008103144019879714,military_or_special,OK
V22,45,,,,,False,False,0.0008103144019879714,unknown,MED: need model_name to scrape entry_year
GALX,43,Gulfstream G200,,1997.0,wikidata:P606,True,True,0.0007743004285662837,general_aviation,OK
TB20,43,,,,,False,False,0.0007743004285662837,unknown,MED: need model_name to scrape entry_year
P68,42,Partenavia P.68,,1970.0,wikidata:P606,True,True,0.0007562934418554399,unknown,OK
CN35,41,,,,,False,False,0.0007382864551445961,unknown,MED: need model_name to scrape entry_year
C25C,40,Cessna Citation CJ4,,,,True,False,0.0007202794684337523,general_aviation,MED: improve scraping (try other queries / props / sources)
GL7T,40,Gulfstream G700,,2020.0,wikidata:P606,True,True,0.0007202794684337523,general_aviation,OK
LJ75,39,,,,,False,False,0.0007022724817229085,unknown,MED: need model_name to scrape entry_year
MD82,39,McDonnell Douglas MD-82,,1981.0,wikidata:P606,True,True,0.0007022724817229085,unknown,OK
P06T,39,,,,,False,False,0.0007022724817229085,unknown,MED: need model_name to scrape entry_year
L410,38,Let L-410 Turbolet,,1969.0,wikidata:P606,True,True,0.0006842654950120646,unknown,OK
P212,38,Partenavia P.212,,,,True,False,0.0006842654950120646,unknown,MED: improve scraping (try other queries / props / sources)
PC7,38,Pilatus PC-7,,1966.0,wikidata:P606,True,True,0.0006842654950120646,unknown,OK
B764,37,Boeing 767-400,,1999.0,wikidata:P606,True,True,0.0006662585083012209,airliner,OK
C408,37,,,,,False,False,0.0006662585083012209,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
C550,37,Cessna Citation II,,1977.0,wikidata:P606,True,True,0.0006662585083012209,general_aviation,OK
SB05,37,,,,,False,False,0.0006662585083012209,unknown,MED: need model_name to scrape entry_year
B06,36,,,,,False,False,0.0006482515215903771,unknown,MED: need model_name to scrape entry_year
B773,36,Boeing 777-300,,,,True,False,0.0006482515215903771,airliner,MED: improve scraping (try other queries / props / sources)
BE10,36,,,,,False,False,0.0006482515215903771,general_aviation,LOW/MED: optional (non-core) — can ignore or map later
EC30,36,,,,,False,False,0.0006482515215903771,helicopter,LOW/MED: optional (non-core) — can ignore or map later
HDJT,36,,,,,False,False,0.0006482515215903771,unknown,MED: need model_name to scrape entry_year
C25M,35,Cessna Citation CJ3,,,,True,False,0.0006302445348795332,general_aviation,MED: improve scraping (try other queries / props / sources)
U2,35,,,,,False,False,0.0006302445348795332,unknown,MED: need model_name to scrape entry_year
B732,34,Boeing 737-200,,,,True,False,0.0006122375481686894,airliner,MED: improve scraping (try other queries / props / sources)
CL2T,34,Bombardier 415,,1993.0,wikidata:P606,True,True,0.0006122375481686894,airliner,OK
CRJX,34,Canadair Regional Jet 1000,,,,True,False,0.0006122375481686894,unknown,MED: improve scraping (try other queries / props / sources)
F50,34,Fokker 50,,1985.0,wikidata:P606,True,True,0.0006122375481686894,military_or_special,OK
JS32,34,British Aerospace Jetstream 32,,,,True,False,0.0006122375481686894,unknown,MED: improve scraping (try other queries / props / sources)
A189,33,AgustaWestland AW189,,2011.0,wikidata:P606,True,True,0.0005942305614578457,unknown,OK
MI8,32,Mil Mi-8,,1961.0,wikidata:P606,True,True,0.0005762235747470018,helicopter,OK
AS32,31,Eurocopter AS332 Super Puma,,1978.0,wikidata:P606,True,True,0.000558216588036158,helicopter,OK
T204,31,Tupolev Tu-204,,1989.0,wikidata:P606,True,True,0.000558216588036158,unknown,OK
EC20,30,Eurocopter EC120 Colibri,,1995.0,wikidata:P606,True,True,0.0005402096013253142,helicopter,OK
PA18,30,Piper PA-18 Super Cub,,1949.0,wikidata:P606,True,True,0.0005402096013253142,general_aviation,OK
PA34,30,Piper PA-34 Seneca,,1967.0,wikidata:P606,True,True,0.0005402096013253142,general_aviation,OK
AC90,29,Aero Commander 900,,,,True,False,0.0005222026146144705,unknown,MED: improve scraping (try other queries / props / sources)
RJ1H,29,Avro RJ100,,1988.0,wikidata:P729,True,True,0.0005222026146144705,unknown,OK
AC50,28,Aero Commander 500,,,,True,False,0.0005041956279036266,unknown,MED: improve scraping (try other queries / props / sources)
AN12,28,Antonov An-12,,1957.0,wikidata:P606,True,True,0.0005041956279036266,unknown,OK
C206,28,Cessna 206 Stationair,,1998.0,wikidata:P729,True,True,0.0005041956279036266,general_aviation,OK
M339,28,Aermacchi MB-339,,1976.0,wikidata:P606,True,True,0.0005041956279036266,unknown,OK
E290,27,Embraer E190-E2,,,,True,False,0.0004861886411927828,airliner,MED: improve scraping (try other queries / props / sources)
R44,27,Robinson R44,,1990.0,wikidata:P606,True,True,0.0004861886411927828,helicopter,OK
AT73,26,ATR 72-200,,,,True,False,0.000468181654481939,airliner,MED: improve scraping (try other queries / props / sources)
C55B,26,Cessna Citation Bravo,,1977.0,wikidata:P606,True,True,0.000468181654481939,general_aviation,OK
C82S,26,Cessna 182S Skylane,,,,True,False,0.000468181654481939,general_aviation,MED: improve scraping (try other queries / props / sources)
M346,26,Alenia Aermacchi M-346,,2004.0,wikidata:P606,True,True,0.000468181654481939,unknown,OK
R135,26,Boeing RC-135,,1965.0,wikidata:P606,True,True,0.000468181654481939,unknown,OK
A148,25,Antonov An-148,,2004.0,wikidata:P606,True,True,0.00045017466777109516,unknown,OK
A346,25,Airbus A340-600,,2001.0,wikidata:P606,True,True,0.00045017466777109516,airliner,OK
B722,25,Boeing 727-200,,1967.0,wikidata:P606,True,True,0.00045017466777109516,airliner,OK
C150,25,Cessna 150,,1957.0,wikidata:P606,True,True,0.00045017466777109516,general_aviation,OK
EC55,25,Eurocopter EC155,,1997.0,wikidata:P606,True,True,0.00045017466777109516,helicopter,OK
G115,25,Grob G115,,1988.0,wikidata:P729,True,True,0.00045017466777109516,unknown,OK
LJ40,25,Learjet 40,,2002.0,wikidata:P606,True,True,0.00045017466777109516,general_aviation,OK
TOBA,25,Unknown / TOBA,,,,True,False,0.00045017466777109516,unknown,MED: improve scraping (try other queries / props / sources)
BN2T,24,Britten-Norman BN-2 Islander,,1965.0,wikidata:P606,True,True,0.0004321676810602514,unknown,OK
DA62,24,Diamond DA62,,,,True,False,0.0004321676810602514,general_aviation,MED: improve scraping (try other queries / props / sources)
JS41,24,British Aerospace Jetstream 41,,1991.0,wikidata:P606,True,True,0.0004321676810602514,unknown,OK
K35E,24,,,,,False,False,0.0004321676810602514,unknown,MED: need model_name to scrape entry_year
B1,23,Rockwell B-1B Lancer,,,,True,False,0.00041416069434940757,unknown,MED: improve scraping (try other queries / props / sources)
L188,23,Lockheed L-188 Electra,,1957.0,wikidata:P606,True,True,0.00041416069434940757,military,OK
RJ85,23,Avro RJ85,,1982.0,wikidata:P606,True,True,0.00041416069434940757,unknown,OK
S2T,23,,,,,False,False,0.00041416069434940757,unknown,MED: need model_name to scrape entry_year
SF50,23,Cirrus Vision SF50,,,,True,False,0.00041416069434940757,general_aviation,MED: improve scraping (try other queries / props / sources)
BE4W,22,Beechcraft Beechjet 400A,,,,True,False,0.00039615370763856374,general_aviation,MED: improve scraping (try other queries / props / sources)
C207,22,Cessna 207,,1968.0,wikidata:P606,True,True,0.00039615370763856374,general_aviation,OK
F70,22,Fokker 70,,1993.0,wikidata:P606,True,True,0.00039615370763856374,military_or_special,OK
