airline_name,country,region,avg_entry_year,modern_count_2015,modern_count_2010,diversity_score,fleet_size,pct_modern_2015,pct_modern_2010,modernity_index
Venture Aviation Group,Porto Rico,North America,1986.0,0,0,4,5,0.0,0.0,0.0
Via Air,République centrafricaine,Africa,1978.8333333333333,0,0,4,6,0.0,0.0,0.0
Victory Air,Porto Rico,North America,1995.0,0,0,1,10,0.0,0.0,0.0
Vieques Air Link,Porto Rico,North America,1965.0,0,0,2,8,0.0,0.0,0.0
VietJet Air,Vietnam,Asia,2002.0,27,27,2,69,39.130434782608695,39.130434782608695,0.391304347826087
Vietnam Airlines,Vietnam,Asia,2003.8395061728395,23,40,5,81,28.39506172839506,49.38271604938272,0.2839506172839506
Virgin Atlantic,Territoire britannique de l'océan Indien,Asia,2016.4,20,20,2,20,100.0,100.0,1.0
Virgin Australia,Îles Cocos,Oceania,1995.57,9,9,4,100,9.0,9.0,0.09
Vista America,Porto Rico,North America,1991.3333333333333,2,2,4,30,6.666666666666667,6.666666666666667,0.0666666666666666
VistaJet,Malte,Europe,2002.2857142857144,16,21,11,98,16.3265306122449,21.428571428571427,0.163265306122449
Viva,Mexique,North America,2010.2272727272727,22,34,3,44,50.0,77.27272727272727,0.5
Volare Aviation,Guernesey,Europe,1986.2,1,1,5,5,20.0,20.0,0.2
Volaris,Porto Rico,North America,2012.1057692307693,35,91,4,104,33.65384615384615,87.5,0.3365384615384615
Volga-Dnepr Airlines,Russie,Europe,1971.0,0,0,1,5,0.0,0.0,0.0
Volotea,Espagne,Europe,1995.0,0,0,1,18,0.0,0.0,0.0
Vueling,Espagne,Europe,2004.5098039215688,4,27,4,51,7.84313725490196,52.94117647058824,0.0784313725490196
Wamos Air,Espagne,Europe,1987.0,0,0,1,5,0.0,0.0,0.0
Warbelows Air Ventures,Porto Rico,North America,1964.0,0,0,1,6,0.0,0.0,0.0
Wasaya Airways,Canada,North America,1983.0833333333333,0,0,4,12,0.0,0.0,0.0
Weltall Avia,Russie,Europe,1984.3333333333333,0,0,2,6,0.0,0.0,0.0
West Air,Taïwan,Asia,2006.157894736842,5,11,5,19,26.31578947368421,57.89473684210527,0.2631578947368421
WestJet,Canada,North America,1996.5,53,53,3,146,36.3013698630137,36.3013698630137,0.363013698630137
Westair Aviation,Italie,Europe,2003.0,0,3,5,6,0.0,50.0,0.0
Western Air,Bahamas,North America,1993.5,0,0,2,8,0.0,0.0,0.0
Western Aircraft,Porto Rico,North America,1992.6,0,0,2,10,0.0,0.0,0.0
Western Global Airlines,Porto Rico,North America,1989.7,0,0,2,20,0.0,0.0,0.0
Western Michigan University College of Aviation,Porto Rico,North America,1993.774193548387,0,0,2,62,0.0,0.0,0.0
Wheels Up,Porto Rico,North America,1997.5,0,0,5,64,0.0,0.0,0.0
Wiggins Airways,Porto Rico,North America,1967.0,0,0,2,10,0.0,0.0,0.0
Winair,Corée du Nord,Asia,1965.0,0,0,1,5,0.0,0.0,0.0
Windrose Airlines,Ukraine,Europe,1991.7,0,0,5,10,0.0,0.0,0.0
Wing Aviation,Porto Rico,North America,1996.25,1,1,6,8,12.5,12.5,0.125
Wingo,Panama,North America,1997.0,0,0,1,9,0.0,0.0,0.0
Wizz Air,Malte,Europe,2011.2753623188405,159,165,3,207,76.81159420289855,79.71014492753623,0.7681159420289855
World Atlantic Airlines,Porto Rico,North America,1984.0,0,0,1,8,0.0,0.0,0.0
Worldwide Jet Charter,Porto Rico,North America,1985.2,0,0,3,5,0.0,0.0,0.0
Wright Air Service,Porto Rico,North America,1979.625,0,0,3,16,0.0,0.0,0.0
XCEL JET,Porto Rico,North America,2001.0,0,0,2,5,0.0,0.0,0.0
XO,Porto Rico,North America,1993.0,0,0,1,20,0.0,0.0,0.0
Xiamen Air,Taïwan,Asia,2000.2,42,42,4,165,25.454545454545453,25.454545454545453,0.2545454545454545
YTO Cargo Airlines,Taïwan,Asia,1982.6666666666667,0,0,2,12,0.0,0.0,0.0
Yakutia Airlines,Russie,Europe,1993.142857142857,0,0,3,7,0.0,0.0,0.0
Yamal Airlines,Russie,Europe,2005.0,0,0,2,17,0.0,0.0,0.0
ZYB Lily Jet,Taïwan,Asia,1995.0,0,0,3,6,0.0,0.0,0.0
Zagros Airlines,Iran,Asia,1983.875,0,0,3,8,0.0,0.0,0.0
Zimex Aviation,Suisse,Europe,1965.0,0,0,1,7,0.0,0.0,0.0
airblue,Pakistan,Asia,1999.571428571429,2,2,2,7,28.57142857142857,28.57142857142857,0.2857142857142857
easyJet,Territoire britannique de l'océan Indien,Asia,2005.3539325842696,19,95,3,178,10.674157303370784,53.37078651685393,0.1067415730337078
flyExclusive,Porto Rico,North America,1994.12987012987,0,0,5,77,0.0,0.0,0.0
flyadeal,Arabie saoudite,Asia,2010.71875,0,28,3,32,0.0,87.5,0.0
flydubai,Émirats arabes unis,Asia,2009.9545454545453,60,60,2,88,68.18181818181817,68.18181818181817,0.6818181818181818
flynas,Arabie saoudite,Asia,2014.0983606557377,3,61,2,61,4.918032786885246,100.0,0.0491803278688524
populAir,Suède,Europe,1985.0,0,0,1,11,0.0,0.0,0.0
rex. Regional Express,Îles Cocos,Oceania,1983.0,0,0,1,37,0.0,0.0,0.0
